humanoid robot	0.14285714285714285
humanoid alien	0.14285714285714285
shooting	0.14285714285714285
gun	0.14285714285714285
hand to hand combat	0.14285714285714285
seventh part	0.09090909090909091
crisis of conscience	0.125
asteroid belt	0.125
tie fighter	0.125
hope	0.1111111111111111
jailbreak	0.1111111111111111
anti heroine	0.1111111111111111
imax version	0.1111111111111111
damsel in distress	0.1
no opening credits	0.1
wookiee	0.1
roman numbered sequel	0.1
roman numeral in title	0.1
surprise ending	0.1
female general	0.08333333333333333
female hero	0.058823529411764705
obi wan kenobi character	0.0
r2 d2 character	0.0
yoda character	0.0
humanoid droid	0.0
heroine	0.0
hero	0.0
girl spy	0.0
brother sister relationship	0.0
shared universe	0.0
angry	0.0
hair bun	0.0
running girl	0.0
living legend	0.0
legends	0.0
philosophy	0.0
lightsaber duel	0.0
spacecraft wreckage	0.0
planet	0.0
on the run	0.0
general	0.0
male soldier	0.0
british african	0.0
caucasian	0.0
crossguard lightsaber	0.0
starfighter pilot helmet	0.0
mon calamari	0.0
flight helmet	0.0
blaster pistol	0.0
crashed starship	0.0
protocol droid	0.0
female starfighter pilot	0.0
spacecraft cockpit	0.0
human in outer space	0.0
battlecruiser starship	0.0
battlecruiser	0.0
strong female lead	0.0
advanced technology	0.0
masked villain	0.0
outnumbered	0.0
remote detonator	0.0
lightsaber battle	0.0
character says may the force be with you	0.0
seven word title	0.0
planetary destruction	0.0
strong woman	0.0
rationing	0.0
food shortage	0.0
tentacled alien	0.0
handheld detonator	0.0
character repeating someone else's dialogue	0.0
face slap	0.0
spit take	0.0
arrest	0.0
world domination	0.0
prisoner	0.0
attack	0.0
fighter pilot	0.0
danger	0.0
outpost	0.0
strangulation	0.0
admiral	0.0
major	0.0
gang	0.0
commander	0.0
epic	0.0
space western	0.0
key	0.0
nurse	0.0
prosthetic limb	0.0
aerial shot	0.0
robotic arm	0.0
unlikely hero	0.0
cellar	0.0
bartender	0.0
blizzard	0.0
eaten alive	0.0
near death experience	0.0
henchman	0.0
shipwreck	0.0
ambiguous ending	0.0
skull	0.0
air strike	0.0
hearing voices	0.0
courage	0.0
electrocution	0.0
saga	0.0
spear	0.0
mission	0.0
presumed dead	0.0
power outage	0.0
scottish accent	0.0
binoculars	0.0
adventure hero	0.0
quest	0.0
female pilot	0.0
water	0.0
walkie talkie	0.0
detonator	0.0
explosive	0.0
survival	0.0
race against time	0.0
sun	0.0
co pilot	0.0
good versus evil	0.0
vision	0.0
woods	0.0
ambush	0.0
prisoner of war	0.0
heavy rain	0.0
island	0.0
blood	0.0
subtitled scene	0.0
bilingualism	0.0
elevator	0.0
giant	0.0
monster	0.0
female spy	0.0
female soldier	0.0
brutality	0.0
mercilessness	0.0
fire	0.0
cape	0.0
tent	0.0
flamethrower	0.0
spacecraft	0.0
missing person	0.0
assassin	0.0
bounty hunter	0.0
rescue	0.0
held at gunpoint	0.0
army	0.0
genetic engineering	0.0
hostage	0.0
humor	0.0
lieutenant	0.0
captain	0.0
kidnapping	0.0
revenge	0.0
falling from height	0.0
long take	0.0
bombardment	0.0
film starts with text	0.0
famous score	0.0
coming of age	0.0
laser gun	0.0
laser	0.0
cannon	0.0
laser cannon	0.0
exploding building	0.0
exploding ship	0.0
explosion	0.0
slow motion scene	0.0
brawl	0.0
fight	0.0
fistfight	0.0
woman punches a man	0.0
punched in the face	0.0
one against many	0.0
woman fights a man	0.0
chaos	0.0
opening action scene	0.0
tough girl	0.0
one woman army	0.0
warp speed	0.0
action heroine	0.0
warrior	0.0
tough guy	0.0
one man army	0.0
sword duel	0.0
anti hero	0.0
foot chase	0.0
action hero	0.0
combat	0.0
battlefield	0.0
stylized violence	0.0
mixed martial arts	0.0
stabbed in the chest	0.0
stabbed in the shoulder	0.0
female fighter	0.0
shot in the back	0.0
shot in the chest	0.0
shot in the arm	0.0
shot in the shoulder	0.0
shot in the head	0.0
starship bridge	0.0
starfighter	0.0
star destroyer	0.0
snowy landscape	0.0
epic battle	0.0
showdown	0.0
martial arts	0.0
shootout	0.0
five word title	0.0
winter	0.0
